Date,True volume,area/ตร.กม,R squared,,,
15/02/2016,4426.790,175.432,0.88,,,
02/03/2016,4283.750,173.790,,,,
18/03/2016,4157.300,169.547,,,,
03/04/2016,4010.810,166.525,,,,
19/04/2016,3857.280,144.952,,,,
05/05/2016,3713.140,153.661,,,,
29/11/2016,7739.130,227.612,,,,
16/01/2017,6994.770,227.680,,,,
01/02/2017,6671.850,220.813,,,,
17/02/2017,6264.660,216.740,,,,
05/03/2017,5859.820,204.234,,,,
06/04/2017,5218.800,183.193,,,,
22/04/2017,5012.940,162.857,,,,
13/09/2017,7093.500,218.208,,,,
31/10/2017,8388.820,218.294,,,,
02/12/2017,8518.250,240.173,,,,
18/12/2017,8257.900,239.595,,,,
19/01/2018,7541.090,234.068,,,,
20/02/2018,6768.410,199.964,,,,
08/03/2018,6429.060,210.077,,,,
24/03/2018,6087.710,184.022,,,,
09/04/2018,5800.480,197.450,,,,
25/04/2018,5544.300,174.011,,,,
16/09/2018,7833.150,224.696,,,,
18/10/2018,8332.940,221.126,,,,
03/11/2018,8335.370,234.802,,,,
19/11/2018,8195.210,237.552,,,,
05/12/2018,7949.040,236.086,,,,
21/12/2018,7606.060,233.569,,,,
07/02/2019,6465.630,217.305,,,,
23/02/2019,6121.220,212.894,,,,
11/03/2019,5771.940,207.742,,,,
12/04/2019,5184.160,184.657,,,,
28/04/2019,4883.930,172.395,,,,
21/10/2019,5323.500,192.571,,,,
22/11/2019,5140.090,191.531,,,,
08/12/2019,5016.710,195.294,,,,
24/12/2019,4893.210,186.365,,,,
09/01/2020,4740.540,182.010,,,,
25/01/2020,4594.420,179.376,,,,
10/02/2020,4452.990,177.282,,,,
26/02/2020,4040.120,142.907,,,,
13/03/2020,4172.330,171.181,,,,
29/03/2020,4010.810,167.184,,,,
16/05/2020,3561.900,152.571,,,,
05/09/2020,4992.240,167.935,,,,
24/11/2020,5727.250,191.769,,,,
10/12/2020,5560.260,202.410,,,,
11/01/2021,5166.890,196.069,,,,
27/01/2021,4926.710,173.801,,,,
28/02/2021,4512.740,175.910,,,,
16/03/2021,4278.640,159.546,,,,
01/04/2021,4028.700,126.367,,,,
03/05/2021,3754.520,144.694,,,,
20/06/2021,3447.590,133.495,,,,
23/08/2021,3556.030,145.000,,,,
26/10/2021,4444.250,169.382,,,,
11/11/2021,4518.040,175.458,,,,
27/11/2021,4509.210,175.339,,,,
23/11/2021,4521.580,176.289,,,,
05/12/2021,4488.070,175.427,,,,
21/12/2021,4425.050,175.227,,,,
29/12/2021,4388.560,173.969,,,,
30/01/2022,4212.600,169.429,,,,
23/02/2022,4119.060,168.450,,,,
19/03/2022,3963.940,162.913,,,,
12/04/2022,3805.610,145.705,,,,
16/05/2022,3572.200,152.571,,,,
17/07/2022,3771.480,149.225,,,,
25/07/2022,4004.320,165.065,,,,
29/10/2022,6861.200,211.219,,,,
06/11/2022,6850.120,212.581,,,,
30/11/2022,6797.070,210.630,,,,
08/12/2022,6728.830,217.447,,,,
16/12/2022,6575.950,214.104,,,,
24/12/2022,6444.110,193.938,,,,
02/02/2023,5859.820,201.704,,,,
26/02/2023,5524.390,197.263,,,,
06/03/2023,5376.280,186.760,,,,
30/03/2023,5005.400,188.885,,,,
15/04/2023,4742.360,164.892,,,,
02/06/2023,3978.440,166.089,,,,
